utt_id,ref_baseline,hyp_baseline,cer_baseline,ref_acoustic,hyp_acoustic,cer_acoustic,cer_diff,text,num_chars,num_tokens,condition
SD2100071-SDRW2100000071.1.1.192,내가 여자인 친구랑 약속을 잡은 적이 없어서,내가 여자인 친구랑 약속을 잡은 적이 없어서,0.0,내가 여자인 친구랑 약속을 잡은 적이 없어서,내가 여자인 친구랑 약속을 잡은 적이 없어서,0.0,0.0,내가 여자인 친구랑 약속을 잡은 적이 없어서,18,7,normal
SD2100099-SDRW2100000099.1.1.50,함으로서 또 이제 그것도 힐링 되고,함으로써 또 인제 그것도 힐링되고,0.1578947368421052,함으로서 또 이제 그것도 힐링 되고,함으로써 또 인제 그것도 힐링되고,0.1578947368421052,0.0,함으로서 또 이제 그것도 힐링 되고,14,6,normal
SD2100099-SDRW2100000100.1.1.93,당연한 건 맞지,당연한 건 맞지,0.0,당연한 건 맞지,당연한 건 맞지,0.0,0.0,당연한 건 맞지,6,3,normal
SD2100101-SDRW2100000101.1.1.269,그래서 그냥,그래서 그냥,0.0,그래서 그냥,그래서 그냥,0.0,0.0,그래서 그냥,5,2,low_info
SD2100102-SDRW2100000101.1.1.16,어 추리닝을 많이 사는 것 같아,어 추리닝을 많이 사는 것 같아,0.0,어 추리닝을 많이 사는 것 같아,어 추리닝을 많이 사는 것 같아,0.0,0.0,어 추리닝을 많이 사는 것 같아,12,6,normal
SD2100105-SDRW2100000106.1.1.279,안 친하면,안 친하면,0.0,안 친하면,안 친하면,0.0,0.0,안 친하면,4,2,low_info
SD2100125-SDRW2100000126.1.1.285,젊었을 때 기억나는지 모르겠네요 뭐냐면,어 저 젊었을 때 기억나 아니고 그 내 냐면,0.6190476190476191,젊었을 때 기억나는지 모르겠네요 뭐냐면,저 젊었을 때 기억나 나는 오리겠네 하면,0.4761904761904761,0.1428571428571429,젊었을 때 기억나는지 모르겠네요 뭐냐면,17,5,normal
SD2100145-SDRW2100000145.1.1.50,어 진짜 바쁘겠다,아 요즘 바쁘겠다,0.3333333333333333,어 진짜 바쁘겠다,어 좀 봐 보겠다,0.5555555555555556,-0.2222222222222222,어 진짜 바쁘겠다,7,3,normal
SD2100145-SDRW2100000146.1.1.204,아 그때 영화 촬영장있었나,아 그때 영화 촬영장 있었나,0.0714285714285714,아 그때 영화 촬영장있었나,아 그때 영화 촬영장 있었나,0.0714285714285714,0.0,아 그때 영화 촬영장있었나,11,4,normal
SD2100145-SDRW2100000146.1.1.55,넌 어떤 식으로,넌 어떤 식으로,0.0,넌 어떤 식으로,넌 어떤 식으로,0.0,0.0,넌 어떤 식으로,6,3,normal
SD2100148-SDRW2100000147.1.1.276,짧게 갈 수도 있고 길게 갈 수도 있는데,짧게 갈 수도 있고 길게 갈 수도 있는데,0.0,짧게 갈 수도 있고 길게 갈 수도 있는데,짧게 갈 수도 있고 길게 갈 수도 있는데,0.0,0.0,짧게 갈 수도 있고 길게 갈 수도 있는데,15,8,normal
SD2100168-SDRW2100000167.1.1.171,기분 나빴던 거 얘기하고,기분 나빴던 거 얘기하고,0.0,기분 나빴던 거 얘기하고,기분 나빴던 거 얘기하고,0.0,0.0,기분 나빴던 거 얘기하고,10,4,normal
SD2100168-SDRW2100000168.1.1.162,헐 근데 그건 좀 기분 나쁘다,어 근데 그건 좀 기분 나쁘다,0.0625,헐 근데 그건 좀 기분 나쁘다,어 근데 그건 좀 기분 나쁘다,0.0625,0.0,헐 근데 그건 좀 기분 나쁘다,11,6,normal
SD2100176-SDRW2100000175.1.1.186,더불어 사는 세상이잖아 아니 근데 세상에,더불어 하는 세상이잖아 아니 근데 세상에,0.0454545454545454,더불어 사는 세상이잖아 아니 근데 세상에,더불어 사는 세상이잖아 아니 근데 세상에,0.0,0.0454545454545454,더불어 사는 세상이잖아 아니 근데 세상에,17,6,normal
SD2100195-SDRW2100000196.1.1.80,저기 뭐야 그 사는 것도 인제 자기가 버니까 엄마한테 손 안 벌리고 애들이 전자제품도 다,저기 뭐야 그 사는 것도 인제 자기가 보니까 엄마한테 손 안 벌리고 애들이 전자 제품도 다,0.0408163265306122,저기 뭐야 그 사는 것도 인제 자기가 버니까 엄마한테 손 안 벌리고 애들이 전자제품도 다,저기 뭐야 그 사는 것도 인제 자기가 보니까 엄마한테 손 안 벌리고 애들이 전자 제품도 다,0.0408163265306122,0.0,저기 뭐야 그 사는 것도 인제 자기가 버니까 엄마한테 손 안 벌리고 애들이 전자제품도 다,35,15,normal
SD2100207-SDRW2100000208.1.1.112,우리도 이제 아플 때는 또 아이고,우리도 인제 아플 때는 또 아이,0.1111111111111111,우리도 이제 아플 때는 또 아이고,우리도 이제 아플 때는 또 아이고,0.0,0.1111111111111111,우리도 이제 아플 때는 또 아이고,13,6,normal
SD2100207-SDRW2100000208.1.1.2,스읍 버스를 탄다고 하면은,버스를 탄다고 하면은,0.2142857142857142,스읍 버스를 탄다고 하면은,버스를 탄다고 하면은,0.2142857142857142,0.0,스읍 버스를 탄다고 하면은,11,4,normal
SD2100217-SDRW2100000217.1.1.213,항상 멍들어 가지고,항상 멍들어 가지고,0.0,항상 멍들어 가지고,항상 멍들어 가지고,0.0,0.0,항상 멍들어 가지고,8,3,normal
SD2100217-SDRW2100000218.1.1.28,그 좌석이 좀,그 좌석이 좀,0.0,그 좌석이 좀,그 좌석이 좀,0.0,0.0,그 좌석이 좀,5,3,low_info
SD2100223-SDRW2100000224.1.1.380,회사에서 일 하시고 나중에 지금은 뭐,회사에서 일하시고 나중에 지금은 뭐,0.05,회사에서 일 하시고 나중에 지금은 뭐,회사에서 일하시고 나중에 지금은 뭐,0.05,0.0,회사에서 일 하시고 나중에 지금은 뭐,15,6,normal
SD2100232-SDRW2100000231.1.1.327,오우 완전 완전 그거네,어 완전 완전 그거네,0.1666666666666666,오우 완전 완전 그거네,어 완전 완전 그거네,0.1666666666666666,0.0,오우 완전 완전 그거네,9,4,normal
SD2100232-SDRW2100000231.1.1.343,뭐가 슬프다,뭔가 슬프다,0.1666666666666666,뭐가 슬프다,뭔가 슬프다,0.1666666666666666,0.0,뭐가 슬프다,5,2,low_info
SD2100284-SDRW2100000284.1.1.133,한 5시 반에 일어나 가지고 준비를 하고 나와야 되니까,한 다섯 시 반에 일어나 가지고 준비를 하고 나와야 되니까,0.1,한 5시 반에 일어나 가지고 준비를 하고 나와야 되니까,한 5시 반에 일어나 가지고 준비를 하고 나와야 되니까,0.0,0.1,한 5시 반에 일어나 가지고 준비를 하고 나와야 되니까,22,9,normal
SD2100315-SDRW2100000316.1.1.226,맞는 거 같아,맞는 거 같아,0.0,맞는 거 같아,맞는 거 같아,0.0,0.0,맞는 거 같아,5,3,low_info
SD2100315-SDRW2100000316.1.1.273,그 당산에서 양천 02 번을 타 그러면,그 당산에서 양천 01번을 타 그러면,0.0952380952380952,그 당산에서 양천 02 번을 타 그러면,그 당산에서 양천 공1번을 타 그러면,0.1428571428571428,-0.0476190476190475,그 당산에서 양천 02 번을 타 그러면,15,7,normal
SD2100315-SDRW2100000319.1.1.133,친구기 때문에 더 힘든 게 있다고,친구기 때문에 더 힘든 게 있다고,0.0,친구기 때문에 더 힘든 게 있다고,신곡이 때문에 더 힘든 게 있다고,0.1666666666666666,-0.1666666666666666,친구기 때문에 더 힘든 게 있다고,13,6,normal
SD2100346-SDRW2100000345.1.1.232,좀 더 예쁘게 아주 좀 부티나게,좀 더 예쁘게 아주 좀 부틴하게,0.1176470588235294,좀 더 예쁘게 아주 좀 부티나게,좀 더 예쁘게 아주 좀 부틴하게,0.1176470588235294,0.0,좀 더 예쁘게 아주 좀 부티나게,12,6,normal
SD2100346-SDRW2100000345.1.1.401,롯데 음식 푸드 자주 가거든 중요한 거야 아빠가 꼭,롯데 영드포도 자주 가거든 중앙을 아파가 꼭,0.3928571428571428,롯데 음식 푸드 자주 가거든 중요한 거야 아빠가 꼭,어 롯데 연드포도 자주 가거든 중앙을 예뻐 갖고,0.5714285714285714,-0.1785714285714286,롯데 음식 푸드 자주 가거든 중요한 거야 아빠가 꼭,20,9,normal
SD2100346-SDRW2100000346.1.1.455,아 직장은 아닌데 지방이라도 가까운 지방 경기도 어딘데,아 직장은 아닌데 지방이라도 가까운 지방 경기도 어딘데,0.0,아 직장은 아닌데 지방이라도 가까운 지방 경기도 어딘데,아 직장은 아닌데 지방이라도 가까운 집안 경기도 어딘데,0.0666666666666666,-0.0666666666666666,아 직장은 아닌데 지방이라도 가까운 지방 경기도 어딘데,23,8,normal
SD2100374-SDRW2100000373.1.1.133,그때 술 먹고,그때 술 먹고,0.0,그때 술 먹고,그때 술 먹고,0.0,0.0,그때 술 먹고,5,3,low_info
SD2100397-SDRW2100000397.1.1.209,1등도 아니고 2등 했는데,1등도 아니고 2등 했는데,0.0,1등도 아니고 2등 했는데,1등도 아니고 2등 했는데,0.0,0.0,1등도 아니고 2등 했는데,11,4,normal
SD2100397-SDRW2100000398.1.1.207,어 막 엄청 불편했다거나 그런 경험까지는 없었던 거 같아,어 막 엄청 불편했다거나 그런 경험까지는 없었던 거 같아,0.0,어 막 엄청 불편했다거나 그런 경험까지는 없었던 거 같아,어 막 엄청 불편했다거나 그런 경험까지는 없었던 거 같아,0.0,0.0,어 막 엄청 불편했다거나 그런 경험까지는 없었던 거 같아,23,9,normal
SD2100399-SDRW2100000399.1.1.350,근데 솔직히 카톡을 하잖아,근데 솔직히 카톡을 하잖아,0.0,근데 솔직히 카톡을 하잖아,근데 솔직히 카톡을 하잖아,0.0,0.0,근데 솔직히 카톡을 하잖아,11,4,normal
SD2100406-SDRW2100000405.1.1.259,그래서 집에 아주 잘 보관 중이거든,그래서 집에 아주 잘 보관 중이거든,0.0,그래서 집에 아주 잘 보관 중이거든,그래서 집에 아주 잘 보관 중이거든,0.0,0.0,그래서 집에 아주 잘 보관 중이거든,14,6,normal
SD2100432-SDRW2100000432.1.1.231,그건 매우 잘한 일이구나,그건 매우 잘한 일이구나,0.0,그건 매우 잘한 일이구나,그건 매우 잘한 일이구나,0.0,0.0,그건 매우 잘한 일이구나,10,4,normal
SD2100470-SDRW2100000489.1.1.27,나중에 싼 걸로,나중에 싼 걸로,0.0,나중에 싼 걸로,나중에 싼 걸로,0.0,0.0,나중에 싼 걸로,6,3,normal
SD2100470-SDRW2100000490.1.1.152,그 우리 아들한테 내가 그 이야기를 했어 그러니까,그 우리 아들한테 내가 그 얘기를 했어 그러니까,0.074074074074074,그 우리 아들한테 내가 그 이야기를 했어 그러니까,그 우리 아들한테 내가 그 이야기를 했어 그러니까,0.0,0.074074074074074,그 우리 아들한테 내가 그 이야기를 했어 그러니까,20,8,normal
SD2100470-SDRW2100000491.1.1.153,그래서 1년에 석 달씩은 꼭 해야지 하고 있는데,그래서 1년에 3 달 시간 꼭 해야지 하고 있는데,0.1538461538461538,그래서 1년에 석 달씩은 꼭 해야지 하고 있는데,그래서 1년에 석 달 씩은 꼭 해야지 하고 있는데,0.0384615384615384,0.1153846153846153,그래서 1년에 석 달씩은 꼭 해야지 하고 있는데,19,8,normal
SD2100470-SDRW2100000492.1.1.38,그 금산에 있잖아 그래서 이번에 휴가를,그 금산에 있잖아 그래 갖고 요번에 휴가를,0.1904761904761904,그 금산에 있잖아 그래서 이번에 휴가를,그 금산에 있잖아 그래 갖고 요번에 휴가를,0.1904761904761904,0.0,그 금산에 있잖아 그래서 이번에 휴가를,16,6,normal
SD2100472-SDRW2100000494.1.1.23,그래 말투가 이상해져서 얘기하고 싶지 않지만,그래 말투가 이상해져서 얘기하고 싶지 않지만,0.0,그래 말투가 이상해져서 얘기하고 싶지 않지만,그래 말투가 이상해져서 얘기하고 싶지 않지만,0.0,0.0,그래 말투가 이상해져서 얘기하고 싶지 않지만,19,6,normal
SD2100476-SDRW2100000502.1.1.101,대신에 또 그거 급여 같은 거는 딱 보장이 돼 있는 거잖아,대신에 또 그거 급여 같은 거는 딱 보장이 돼 있는 거잖아,0.0,대신에 또 그거 급여 같은 거는 딱 보장이 돼 있는 거잖아,대신에 또 그거 급여 같은 거는 딱 보장이 돼 있는 거잖아,0.0,0.0,대신에 또 그거 급여 같은 거는 딱 보장이 돼 있는 거잖아,22,11,normal
SD2100476-SDRW2100000504.1.1.160,등산이 건강에 얼마나 좋니 산 좀 가 이랬잖아,등산이 건강이 얼마나 좋니 산점 가 이랬잖아,0.12,등산이 건강에 얼마나 좋니 산 좀 가 이랬잖아,등산이 건강이 얼마나 좋니 산점 가 이랬잖아,0.12,0.0,등산이 건강에 얼마나 좋니 산 좀 가 이랬잖아,18,8,normal
SD2100502-SDRW2100000555.1.1.8,머신 건 켈리 노랜데,머신건 켈리 노랜데,0.0909090909090909,머신 건 켈리 노랜데,머신건 켈리 노랜데,0.0909090909090909,0.0,머신 건 켈리 노랜데,8,4,normal
SD2100502-SDRW2100000558.1.1.328,그러면은,그러면은,0.0,그러면은,그러면은,0.0,0.0,그러면은,4,1,low_info
SD2100503-SDRW2100000561.1.1.102,그 소스를 따로 준단 말이야 지금 내 소스 발음에 웃은 거지,그 소스를 따라 준단 말이야 지금 내 소스 발음에 웃은 거지,0.0303030303030303,그 소스를 따로 준단 말이야 지금 내 소스 발음에 웃은 거지,그 소스를 따로 준단 말이야 지금 내 소스 발음에 웃은 거지,0.0,0.0303030303030303,그 소스를 따로 준단 말이야 지금 내 소스 발음에 웃은 거지,23,11,normal
SD2100503-SDRW2100000562.1.1.228,맞아 나도 근데 말티즈나 푸들이 가장,맞아 나도 근데 몰티즈나 푸들이 가장,0.05,맞아 나도 근데 말티즈나 푸들이 가장,맞아 나도 근데 몰티즈나 푸들이 가자,0.1,-0.05,맞아 나도 근데 말티즈나 푸들이 가장,15,6,normal
SD2100526-SDRW2100000603.1.1.11,즘 약간의 그 좀 억세지니까 너는 옛날에 해 먹은 거 보다 더 맛있고 좋았었어,좀 약간의 그 좀 억지니까는 옛날에 해먹 보다 더 맛있고 좋았었어,0.1860465116279069,즘 약간의 그 좀 억세지니까 너는 옛날에 해 먹은 거 보다 더 맛있고 좋았었어,좀 약간의 그 좀 억셔지니까는 옛날에 해 먹그런 거보다 더 맛있고 좋았었어,0.1627906976744186,0.0232558139534883,즘 약간의 그 좀 억세지니까 너는 옛날에 해 먹은 거 보다 더 맛있고 좋았었어,30,14,normal
SD2100526-SDRW2100000603.1.1.50,응 또 그거 카드로 하면 좀 더 비싸다 길래,음 또 그 카드로 오면 좀 더 비싸다길래,0.1666666666666666,응 또 그거 카드로 하면 좀 더 비싸다 길래,음 또 그거 카드로 오면 좀 더 비싸다길래,0.125,0.0416666666666666,응 또 그거 카드로 하면 좀 더 비싸다 길래,16,9,normal
SD2100526-SDRW2100000604.1.1.345,걱정하지 마라 너무,걱정하지 말아,0.5,걱정하지 마라 너무,걱정하지 말아 그럼,0.4,0.0999999999999999,걱정하지 마라 너무,8,3,normal
SD2100543-SDRW2100000639.1.1.255,말을 안 하는 것들이 훨씬 많거든요 우리끼리는 왜,말을 안 하는 것들이 훨씬 많거든요 우리끼리는 왜,0.0,말을 안 하는 것들이 훨씬 많거든요 우리끼리는 왜,말을 안 하는 것들이 훨씬 많거든요 우리끼리는 왜,0.0,0.0,말을 안 하는 것들이 훨씬 많거든요 우리끼리는 왜,20,8,normal
SD2100543-SDRW2100000641.1.1.13,음 이 우리가 시간이 한정되어 있으니까,이 우리가 시간이 한정되어 있으니까,0.0952380952380952,음 이 우리가 시간이 한정되어 있으니까,음 이 우리가 시간이 한정되어 있으니까,0.0,0.0952380952380952,음 이 우리가 시간이 한정되어 있으니까,16,6,normal
SD2100547-SDRW2100000650.1.1.108,글쎄요 지금 또 무슨 정책이 조금 뭐,지금 또 무슨 정책이 조금 뭐,0.2,글쎄요 지금 또 무슨 정책이 조금 뭐,지금 또 무슨 정책이 조금 뭐,0.2,0.0,글쎄요 지금 또 무슨 정책이 조금 뭐,14,7,normal
SD2100547-SDRW2100000650.1.1.309,품귀 현상이니까 나왔다 하면,풍계 현상이니까 나왔다 하면,0.1333333333333333,품귀 현상이니까 나왔다 하면,품기 현상이니까 나왔다 하면,0.0666666666666666,0.0666666666666667,품귀 현상이니까 나왔다 하면,12,4,normal
SD2100548-SDRW2100000647.1.1.133,그렇게 많은 돈을 들여서 사는 거에 대해서 어떡하냐고,그렇게 많은 돈을 들여서 사는 거에 대해서 어떡하냐고,0.0,그렇게 많은 돈을 들여서 사는 거에 대해서 어떡하냐고,그렇게 많은 돈을 들여서 사는 거에 대해서 어떡하냐고,0.0,0.0,그렇게 많은 돈을 들여서 사는 거에 대해서 어떡하냐고,22,8,normal
SD2100548-SDRW2100000647.1.1.143,그래서 사람들이 인제 억 단위면 이거 세금을 내야 되지 않니,그래서 사람들이 인제 억다니면 이거 세금을 내야 되지 않니,0.0909090909090909,그래서 사람들이 인제 억 단위면 이거 세금을 내야 되지 않니,그래서 사람들이 인제 억다니면 이거 세금을 내야 되지 않니,0.0909090909090909,0.0,그래서 사람들이 인제 억 단위면 이거 세금을 내야 되지 않니,24,10,normal
SD2100549-SDRW2100000654.1.1.286,먹을 수 있거든 최소 주문 금액 13000원 막 이러니까,먹을 수 있거든 최소 주문 금액만 3천 원 막 이러니까,0.1612903225806451,먹을 수 있거든 최소 주문 금액 13000원 막 이러니까,먹을 수 있거든 최소 주문 금액만 3000원 막 이러니까,0.064516129032258,0.0967741935483871,먹을 수 있거든 최소 주문 금액 13000원 막 이러니까,23,9,normal
SD2100556-SDRW2100000664.1.1.136,아닌 걸로 알고 있는데 왜냐하면 나,아는 걸로 알고 있는데 왜냐하면 내가,0.1578947368421052,아닌 걸로 알고 있는데 왜냐하면 나,아는 걸로 알고 근데 왜냐하면 내가,0.2631578947368421,-0.1052631578947368,아닌 걸로 알고 있는데 왜냐하면 나,14,6,normal
SD2100559-SDRW2100000672.1.1.166,나도 그냥 서울 살면서 느낀 점을 말해 보자면은,나도 그냥 서울 살면서 느낀 정을 말해 보자면은,0.0384615384615384,나도 그냥 서울 살면서 느낀 점을 말해 보자면은,나도 그냥 서울 살면서 느낀 점을 말해 보자면은,0.0,0.0384615384615384,나도 그냥 서울 살면서 느낀 점을 말해 보자면은,19,8,normal
SD2100567-SDRW2100000688.1.1.133,헤 그래서,그래서,0.4,헤 그래서,헤 그래서,0.0,0.4,헤 그래서,4,2,low_info
SD2100569-SDRW2100000692.1.1.2,요즘에,요즘에,0.0,요즘에,요즘에,0.0,0.0,요즘에,3,1,low_info
SD2100570-SDRW2100000693.1.1.40,응 사람들이 많은 거 같아,응 사람들이 많은 거 같아,0.0,응 사람들이 많은 거 같아,응 사람들이 많은 거 같아,0.0,0.0,응 사람들이 많은 거 같아,10,5,normal
SD2100570-SDRW2100000693.1.1.63,근데 염따가,염따가,0.5,근데 염따가,근데 염따가,0.0,0.5,근데 염따가,5,2,low_info
SD2100571-SDRW2100000695.1.1.97,들 친구들 결혼식에는 본 적 없는 거 같아,내 친구들 결혼식에는 본 적 없는 거 같아,0.0434782608695652,들 친구들 결혼식에는 본 적 없는 거 같아,때 친구들 결혼식에는 본 적 없는 거 같아,0.0434782608695652,0.0,들 친구들 결혼식에는 본 적 없는 거 같아,16,8,normal
SD2100593-SDRW2100000739.1.1.170,팁은 따로 없는데,팁은 따로 없는데,0.0,팁은 따로 없는데,팁은 따로 없는데,0.0,0.0,팁은 따로 없는데,7,3,normal
SD2100593-SDRW2100000739.1.1.198,혼자서 준비하기보다 약간 컨설팅의 도움을 받아서,혼자서 준비하기보다 약간 컨설팅에 도움을 받아서,0.0384615384615384,혼자서 준비하기보다 약간 컨설팅의 도움을 받아서,혼자서 준비하기보다 약간 컨설팅의 도움을 받아서,0.0,0.0384615384615384,혼자서 준비하기보다 약간 컨설팅의 도움을 받아서,21,6,normal
SD2100593-SDRW2100000739.1.1.275,워라밸이 가장 중요한 거긴 하지만 나도 너랑 마찬가지로,워라밸이 가장 중요한 거긴 하지만 나도 너랑 마찬가지로,0.0,워라밸이 가장 중요한 거긴 하지만 나도 너랑 마찬가지로,워라밸이 가장 중요한 거긴 하지만 나도 너랑 마찬가지로,0.0,0.0,워라밸이 가장 중요한 거긴 하지만 나도 너랑 마찬가지로,23,8,normal
SD2100606-SDRW2100000762.1.1.73,프로그램은 많으니까,프로그램은 많으니까,0.0,프로그램은 많으니까,프로그램은 많으니까,0.0,0.0,프로그램은 많으니까,9,2,low_info
SD2100606-SDRW2100000765.1.1.167,좀 많이 춥지 않을까,좀 많이 춥지 않을까,0.0,좀 많이 춥지 않을까,좀 많이 춥지 않을까,0.0,0.0,좀 많이 춥지 않을까,8,4,normal
SD2100629-SDRW2100000810.1.1.2,두부랑 오빠 이제,두부랑 뭐 이제,0.2222222222222222,두부랑 오빠 이제,두부랑 오빠가 이제,0.1111111111111111,0.1111111111111111,두부랑 오빠 이제,7,3,normal
SD2100629-SDRW2100000813.1.1.157,그것도 일종의 회사라고 볼 수 있겠지 사람이 적지 않으니까,그것도 일종의 회사라고 볼 수 있겠지 사람이 적지 않으니까,0.0,그것도 일종의 회사라고 볼 수 있겠지 사람이 적지 않으니까,그것도 일종의 회사라고 볼 수 있겠지 사람이 적지 않으니까,0.0,0.0,그것도 일종의 회사라고 볼 수 있겠지 사람이 적지 않으니까,24,9,normal
SD2100629-SDRW2100000813.1.1.93,남들의 시선에,남들의 시선에,0.0,남들의 시선에,남들의 시선에,0.0,0.0,남들의 시선에,6,2,low_info
SD2100636-SDRW2100000825.1.1.229,사회의 모든 것들이 그 사람에게,사회적인 모든 것들이 그 사람에게,0.1176470588235294,사회의 모든 것들이 그 사람에게,사회적인 모든 것들이 그 사람에게,0.1176470588235294,0.0,사회의 모든 것들이 그 사람에게,13,5,normal
SD2100636-SDRW2100000825.1.1.50,그냥 끝내고 싶어 하는 그런 것도 있지 않을까,그냥 끝내고 싶어 하는 그런 것도 있지 않을까,0.0,그냥 끝내고 싶어 하는 그런 것도 있지 않을까,그냥 끝내고 싶어 하는 그런 것도 있지 않을까,0.0,0.0,그냥 끝내고 싶어 하는 그런 것도 있지 않을까,18,8,normal
SD2100642-SDRW2100000837.1.1.120,그리,그리,0.0,그리,그래,0.5,-0.5,그리,2,1,low_info
SD2100643-SDRW2100000839.1.1.5,정해인 알지 당연히,정해인 알지 당연히,0.0,정해인 알지 당연히,정해 나지 당연히,0.2,-0.2,정해인 알지 당연히,8,3,normal
SD2100643-SDRW2100000840.1.1.192,고양이 밥 많이 줘,고양이 밥 많이 줘,0.0,고양이 밥 많이 줘,고양이 밥 많이 줘,0.0,0.0,고양이 밥 많이 줘,7,4,normal
SD2100643-SDRW2100000840.1.1.26,근데 난 반대로 강아지를 키우고 있으니까 고양이가 키우고 싶었는데,근데 난 반대로 강아지를 키우고 있으니까 고양이가 키우고 싶던데,0.0555555555555555,근데 난 반대로 강아지를 키우고 있으니까 고양이가 키우고 싶었는데,근데 난 반대로 강아지를 키우고 있으니까 고양이가 키우고 싶던데,0.0555555555555555,0.0,근데 난 반대로 강아지를 키우고 있으니까 고양이가 키우고 싶었는데,28,9,normal
SD2100651-SDRW2100000854.1.1.40,만남들이 많이 예,만남들이 많이 에,0.1111111111111111,만남들이 많이 예,만남들이 많이 에,0.1111111111111111,0.0,만남들이 많이 예,7,3,normal
SD2100664-SDRW2100000875.1.1.377,이게 좀 계속,이게 좀 계속,0.0,이게 좀 계속,이게 좀 계속,0.0,0.0,이게 좀 계속,5,3,low_info
SD2100664-SDRW2100000877.1.1.23,길 어떤 긴 내가 아무것도 안 하고 오,길 어떤 긴 내가 아무것도 안 하고 올,0.0476190476190476,길 어떤 긴 내가 아무것도 안 하고 오,길 어떤 긴 내가 아무것도 안 하고 올,0.0476190476190476,0.0,길 어떤 긴 내가 아무것도 안 하고 오,14,8,normal
SD2100667-SDRW2100000884.1.1.183,그 수업을 하필 내가 들어가서,그 수업을 하필 내가 들어가서,0.0,그 수업을 하필 내가 들어가서,그 수업을 하필 내가 들어가서,0.0,0.0,그 수업을 하필 내가 들어가서,12,5,normal
SD2100667-SDRW2100000885.1.1.79,그 내공이 확실히,그 내공이 확실히,0.0,그 내공이 확실히,그 내공이 확실히,0.0,0.0,그 내공이 확실히,7,3,normal
SD2100687-SDRW2100000926.1.1.172,근데 우리가 만약에,근데 우리가 만약에,0.0,근데 우리가 만약에,근데 우리가 만약에,0.0,0.0,근데 우리가 만약에,8,3,normal
SD2100687-SDRW2100000926.1.1.242,이제 사람과 사람에 있어서 이제,이제 사람과 사람에 있어서 이제,0.0,이제 사람과 사람에 있어서 이제,이제 사람과 사람에 있어서 이제,0.0,0.0,이제 사람과 사람에 있어서 이제,13,5,normal
